Parameter,Value,Unit,DUT_ID,Spec_Min,Spec_Max,Test_Condition
VOH,2.850781,V,DUT_001,2.4,,Flow2_Nominal
VOH,2.899167,V,DUT_002,2.4,,Flow2_Nominal
VOH,3.134513,V,DUT_003,2.4,,Flow2_Nominal
VOH,3.109867,V,DUT_004,2.4,,Flow2_Nominal
VOH,2.996238,V,DUT_005,2.4,,Flow2_Nominal
VOH,3.021119,V,DUT_006,2.4,,Flow2_Nominal
VOH,3.22998,V,DUT_007,2.4,,Flow2_Nominal
VOH,2.893517,V,DUT_008,2.4,,Flow2_Nominal
VOH,3.098478,V,DUT_009,2.4,,Flow2_Nominal
VOH,2.963605,V,DUT_010,2.4,,Flow2_Nominal
VOH,2.960817,V,DUT_011,2.4,,Flow2_Nominal
VOH,3.19778,V,DUT_012,2.4,,Flow2_Nominal
VOH,3.148575,V,DUT_013,2.4,,Flow2_Nominal
VOH,3.146432,V,DUT_014,2.4,,Flow2_Nominal
VOH,3.234986,V,DUT_015,2.4,,Flow2_Nominal
VOH,3.003781,V,DUT_016,2.4,,Flow2_Nominal
VOH,3.122752,V,DUT_017,2.4,,Flow2_Nominal
VOH,2.944152,V,DUT_018,2.4,,Flow2_Nominal
VOH,3.05835,V,DUT_019,2.4,,Flow2_Nominal
VOH,2.976574,V,DUT_020,2.4,,Flow2_Nominal
VOH,3.017459,V,DUT_021,2.4,,Flow2_Nominal
VOH,3.107128,V,DUT_022,2.4,,Flow2_Nominal
VOH,2.85272,V,DUT_023,2.4,,Flow2_Nominal
VOH,3.37663,V,DUT_024,2.4,,Flow2_Nominal
VOH,2.818917,V,DUT_025,2.4,,Flow2_Nominal
VOL,0.082865,V,DUT_001,,0.4,Flow2_Nominal
VOL,0.272649,V,DUT_002,,0.4,Flow2_Nominal
VOL,0.243333,V,DUT_003,,0.4,Flow2_Nominal
VOL,0.22993,V,DUT_004,,0.4,Flow2_Nominal
VOL,0.230268,V,DUT_005,,0.4,Flow2_Nominal
VOL,0.17902,V,DUT_006,,0.4,Flow2_Nominal
VOL,0.10822,V,DUT_007,,0.4,Flow2_Nominal
VOL,0.186064,V,DUT_008,,0.4,Flow2_Nominal
VOL,0.125827,V,DUT_009,,0.4,Flow2_Nominal
VOL,0.25801,V,DUT_010,,0.4,Flow2_Nominal
VOL,0.168235,V,DUT_011,,0.4,Flow2_Nominal
VOL,0.11396,V,DUT_012,,0.4,Flow2_Nominal
VOL,0.154289,V,DUT_013,,0.4,Flow2_Nominal
VOL,0.213035,V,DUT_014,,0.4,Flow2_Nominal
VOL,0.134902,V,DUT_015,,0.4,Flow2_Nominal
VOL,0.114222,V,DUT_016,,0.4,Flow2_Nominal
VOL,0.199495,V,DUT_017,,0.4,Flow2_Nominal
VOL,0.199597,V,DUT_018,,0.4,Flow2_Nominal
VOL,0.139445,V,DUT_019,,0.4,Flow2_Nominal
VOL,0.142317,V,DUT_020,,0.4,Flow2_Nominal
VOL,0.198564,V,DUT_021,,0.4,Flow2_Nominal
VOL,0.064153,V,DUT_022,,0.4,Flow2_Nominal
VOL,0.067403,V,DUT_023,,0.4,Flow2_Nominal
VOL,0.122524,V,DUT_024,,0.4,Flow2_Nominal
VOL,0.162924,V,DUT_025,,0.4,Flow2_Nominal
VIH,2.287309,V,DUT_001,2.0,,Flow2_Nominal
VIH,2.427043,V,DUT_002,2.0,,Flow2_Nominal
VIH,2.352919,V,DUT_003,2.0,,Flow2_Nominal
VIH,2.230807,V,DUT_004,2.0,,Flow2_Nominal
VIH,2.247718,V,DUT_005,2.0,,Flow2_Nominal
VIH,2.129696,V,DUT_006,2.0,,Flow2_Nominal
VIH,2.247778,V,DUT_007,2.0,,Flow2_Nominal
VIH,2.215361,V,DUT_008,2.0,,Flow2_Nominal
VIH,2.288726,V,DUT_009,2.0,,Flow2_Nominal
VIH,2.150732,V,DUT_010,2.0,,Flow2_Nominal
VIH,2.312322,V,DUT_011,2.0,,Flow2_Nominal
VIH,2.433929,V,DUT_012,2.0,,Flow2_Nominal
VIH,2.236949,V,DUT_013,2.0,,Flow2_Nominal
VIH,2.298205,V,DUT_014,2.0,,Flow2_Nominal
VIH,2.332817,V,DUT_015,2.0,,Flow2_Nominal
VIH,2.201854,V,DUT_016,2.0,,Flow2_Nominal
VIH,2.276891,V,DUT_017,2.0,,Flow2_Nominal
VIH,2.251511,V,DUT_018,2.0,,Flow2_Nominal
VIH,2.261721,V,DUT_019,2.0,,Flow2_Nominal
VIH,2.157239,V,DUT_020,2.0,,Flow2_Nominal
VIH,2.252941,V,DUT_021,2.0,,Flow2_Nominal
VIH,2.30976,V,DUT_022,2.0,,Flow2_Nominal
VIH,2.424137,V,DUT_023,2.0,,Flow2_Nominal
VIH,2.365112,V,DUT_024,2.0,,Flow2_Nominal
VIH,2.508382,V,DUT_025,2.0,,Flow2_Nominal
VIL,0.523265,V,DUT_001,,0.8,Flow2_Nominal
VIL,0.687232,V,DUT_002,,0.8,Flow2_Nominal
VIL,0.618334,V,DUT_003,,0.8,Flow2_Nominal
VIL,0.81898,V,DUT_004,,0.8,Flow2_Nominal
VIL,0.51917,V,DUT_005,,0.8,Flow2_Nominal
VIL,0.516028,V,DUT_006,,0.8,Flow2_Nominal
VIL,0.540061,V,DUT_007,,0.8,Flow2_Nominal
VIL,0.38761,V,DUT_008,,0.8,Flow2_Nominal
VIL,0.547424,V,DUT_009,,0.8,Flow2_Nominal
VIL,0.524087,V,DUT_010,,0.8,Flow2_Nominal
VIL,0.615039,V,DUT_011,,0.8,Flow2_Nominal
VIL,0.634176,V,DUT_012,,0.8,Flow2_Nominal
VIL,0.787617,V,DUT_013,,0.8,Flow2_Nominal
VIL,0.695042,V,DUT_014,,0.8,Flow2_Nominal
VIL,0.54231,V,DUT_015,,0.8,Flow2_Nominal
VIL,0.510159,V,DUT_016,,0.8,Flow2_Nominal
VIL,0.649192,V,DUT_017,,0.8,Flow2_Nominal
VIL,0.467977,V,DUT_018,,0.8,Flow2_Nominal
VIL,0.783146,V,DUT_019,,0.8,Flow2_Nominal
VIL,0.717944,V,DUT_020,,0.8,Flow2_Nominal
VIL,0.553082,V,DUT_021,,0.8,Flow2_Nominal
VIL,0.428687,V,DUT_022,,0.8,Flow2_Nominal
VIL,0.735387,V,DUT_023,,0.8,Flow2_Nominal
VIL,0.588546,V,DUT_024,,0.8,Flow2_Nominal
VIL,0.723782,V,DUT_025,,0.8,Flow2_Nominal
IOH,-6.094428,mA,DUT_001,-8.0,,Flow2_Nominal
IOH,-5.099375,mA,DUT_002,-8.0,,Flow2_Nominal
IOH,-4.494756,mA,DUT_003,-8.0,,Flow2_Nominal
IOH,-4.453019,mA,DUT_004,-8.0,,Flow2_Nominal
IOH,-4.950065,mA,DUT_005,-8.0,,Flow2_Nominal
IOH,-3.87715,mA,DUT_006,-8.0,,Flow2_Nominal
IOH,-5.56762,mA,DUT_007,-8.0,,Flow2_Nominal
IOH,-4.642379,mA,DUT_008,-8.0,,Flow2_Nominal
IOH,-4.379704,mA,DUT_009,-8.0,,Flow2_Nominal
IOH,-3.985561,mA,DUT_010,-8.0,,Flow2_Nominal
IOH,-3.788385,mA,DUT_011,-8.0,,Flow2_Nominal
IOH,-5.624642,mA,DUT_012,-8.0,,Flow2_Nominal
IOH,-6.034114,mA,DUT_013,-8.0,,Flow2_Nominal
IOH,-3.222323,mA,DUT_014,-8.0,,Flow2_Nominal
IOH,-4.167686,mA,DUT_015,-8.0,,Flow2_Nominal
IOH,-5.248487,mA,DUT_016,-8.0,,Flow2_Nominal
IOH,-2.948848,mA,DUT_017,-8.0,,Flow2_Nominal
IOH,-4.384325,mA,DUT_018,-8.0,,Flow2_Nominal
IOH,-3.320703,mA,DUT_019,-8.0,,Flow2_Nominal
IOH,-4.432482,mA,DUT_020,-8.0,,Flow2_Nominal
IOH,-2.439252,mA,DUT_021,-8.0,,Flow2_Nominal
IOH,-2.744659,mA,DUT_022,-8.0,,Flow2_Nominal
IOH,-4.748964,mA,DUT_023,-8.0,,Flow2_Nominal
IOH,-3.528429,mA,DUT_024,-8.0,,Flow2_Nominal
IOH,-3.854624,mA,DUT_025,-8.0,,Flow2_Nominal
IOL,5.805495,mA,DUT_001,,8.0,Flow2_Nominal
IOL,3.238584,mA,DUT_002,,8.0,Flow2_Nominal
IOL,5.054657,mA,DUT_003,,8.0,Flow2_Nominal
IOL,5.464267,mA,DUT_004,,8.0,Flow2_Nominal
IOL,2.365387,mA,DUT_005,,8.0,Flow2_Nominal
IOL,2.998416,mA,DUT_006,,8.0,Flow2_Nominal
IOL,2.056845,mA,DUT_007,,8.0,Flow2_Nominal
IOL,4.003652,mA,DUT_008,,8.0,Flow2_Nominal
IOL,5.089296,mA,DUT_009,,8.0,Flow2_Nominal
IOL,5.952593,mA,DUT_010,,8.0,Flow2_Nominal
IOL,4.381504,mA,DUT_011,,8.0,Flow2_Nominal
IOL,6.091477,mA,DUT_012,,8.0,Flow2_Nominal
IOL,2.781888,mA,DUT_013,,8.0,Flow2_Nominal
IOL,2.426279,mA,DUT_014,,8.0,Flow2_Nominal
IOL,4.238898,mA,DUT_015,,8.0,Flow2_Nominal
IOL,4.722472,mA,DUT_016,,8.0,Flow2_Nominal
IOL,4.264036,mA,DUT_017,,8.0,Flow2_Nominal
IOL,2.025814,mA,DUT_018,,8.0,Flow2_Nominal
IOL,4.201968,mA,DUT_019,,8.0,Flow2_Nominal
IOL,2.865084,mA,DUT_020,,8.0,Flow2_Nominal
IOL,5.03664,mA,DUT_021,,8.0,Flow2_Nominal
IOL,4.703258,mA,DUT_022,,8.0,Flow2_Nominal
IOL,3.266132,mA,DUT_023,,8.0,Flow2_Nominal
IOL,3.734746,mA,DUT_024,,8.0,Flow2_Nominal
IOL,3.134865,mA,DUT_025,,8.0,Flow2_Nominal
Rise_Time,2.456125,ns,DUT_001,,5.0,Flow2_Nominal
Rise_Time,3.1686,ns,DUT_002,,5.0,Flow2_Nominal
Rise_Time,1.809992,ns,DUT_003,,5.0,Flow2_Nominal
Rise_Time,2.852833,ns,DUT_004,,5.0,Flow2_Nominal
Rise_Time,2.12882,ns,DUT_005,,5.0,Flow2_Nominal
Rise_Time,1.944989,ns,DUT_006,,5.0,Flow2_Nominal
Rise_Time,2.425079,ns,DUT_007,,5.0,Flow2_Nominal
Rise_Time,1.77533,ns,DUT_008,,5.0,Flow2_Nominal
Rise_Time,2.112445,ns,DUT_009,,5.0,Flow2_Nominal
Rise_Time,1.661485,ns,DUT_010,,5.0,Flow2_Nominal
Rise_Time,3.875308,ns,DUT_011,,5.0,Flow2_Nominal
Rise_Time,2.524684,ns,DUT_012,,5.0,Flow2_Nominal
Rise_Time,2.010192,ns,DUT_013,,5.0,Flow2_Nominal
Rise_Time,2.649786,ns,DUT_014,,5.0,Flow2_Nominal
Rise_Time,2.42137,ns,DUT_015,,5.0,Flow2_Nominal
Rise_Time,2.345321,ns,DUT_016,,5.0,Flow2_Nominal
Rise_Time,2.929917,ns,DUT_017,,5.0,Flow2_Nominal
Rise_Time,3.030255,ns,DUT_018,,5.0,Flow2_Nominal
Rise_Time,2.128649,ns,DUT_019,,5.0,Flow2_Nominal
Rise_Time,2.096927,ns,DUT_020,,5.0,Flow2_Nominal
Rise_Time,2.307464,ns,DUT_021,,5.0,Flow2_Nominal
Rise_Time,0.888655,ns,DUT_022,,5.0,Flow2_Nominal
Rise_Time,1.439366,ns,DUT_023,,5.0,Flow2_Nominal
Rise_Time,3.456812,ns,DUT_024,,5.0,Flow2_Nominal
Rise_Time,3.651477,ns,DUT_025,,5.0,Flow2_Nominal
Fall_Time,2.150578,ns,DUT_001,,5.0,Flow2_Nominal
Fall_Time,2.645934,ns,DUT_002,,5.0,Flow2_Nominal
Fall_Time,2.48675,ns,DUT_003,,5.0,Flow2_Nominal
Fall_Time,4.147328,ns,DUT_004,,5.0,Flow2_Nominal
Fall_Time,2.971745,ns,DUT_005,,5.0,Flow2_Nominal
Fall_Time,2.223249,ns,DUT_006,,5.0,Flow2_Nominal
Fall_Time,1.726676,ns,DUT_007,,5.0,Flow2_Nominal
Fall_Time,1.336132,ns,DUT_008,,5.0,Flow2_Nominal
Fall_Time,2.422078,ns,DUT_009,,5.0,Flow2_Nominal
Fall_Time,1.84619,ns,DUT_010,,5.0,Flow2_Nominal
Fall_Time,1.446648,ns,DUT_011,,5.0,Flow2_Nominal
Fall_Time,1.912056,ns,DUT_012,,5.0,Flow2_Nominal
Fall_Time,1.651071,ns,DUT_013,,5.0,Flow2_Nominal
Fall_Time,3.312285,ns,DUT_014,,5.0,Flow2_Nominal
Fall_Time,2.828984,ns,DUT_015,,5.0,Flow2_Nominal
Fall_Time,2.295216,ns,DUT_016,,5.0,Flow2_Nominal
Fall_Time,3.187966,ns,DUT_017,,5.0,Flow2_Nominal
Fall_Time,2.346421,ns,DUT_018,,5.0,Flow2_Nominal
Fall_Time,1.783229,ns,DUT_019,,5.0,Flow2_Nominal
Fall_Time,3.213874,ns,DUT_020,,5.0,Flow2_Nominal
Fall_Time,2.623346,ns,DUT_021,,5.0,Flow2_Nominal
Fall_Time,1.677652,ns,DUT_022,,5.0,Flow2_Nominal
Fall_Time,2.185797,ns,DUT_023,,5.0,Flow2_Nominal
Fall_Time,1.774629,ns,DUT_024,,5.0,Flow2_Nominal
Fall_Time,1.47032,ns,DUT_025,,5.0,Flow2_Nominal
Setup_Time,2.124162,ns,DUT_001,1.0,,Flow2_Nominal
Setup_Time,2.468296,ns,DUT_002,1.0,,Flow2_Nominal
Setup_Time,1.310501,ns,DUT_003,1.0,,Flow2_Nominal
Setup_Time,1.997039,ns,DUT_004,1.0,,Flow2_Nominal
Setup_Time,1.572275,ns,DUT_005,1.0,,Flow2_Nominal
Setup_Time,1.629506,ns,DUT_006,1.0,,Flow2_Nominal
Setup_Time,1.592662,ns,DUT_007,1.0,,Flow2_Nominal
Setup_Time,1.497603,ns,DUT_008,1.0,,Flow2_Nominal
Setup_Time,1.816983,ns,DUT_009,1.0,,Flow2_Nominal
Setup_Time,1.509167,ns,DUT_010,1.0,,Flow2_Nominal
Setup_Time,1.89466,ns,DUT_011,1.0,,Flow2_Nominal
Setup_Time,1.782417,ns,DUT_012,1.0,,Flow2_Nominal
Setup_Time,1.716368,ns,DUT_013,1.0,,Flow2_Nominal
Setup_Time,1.482353,ns,DUT_014,1.0,,Flow2_Nominal
Setup_Time,1.59813,ns,DUT_015,1.0,,Flow2_Nominal
Setup_Time,2.064387,ns,DUT_016,1.0,,Flow2_Nominal
Setup_Time,1.975321,ns,DUT_017,1.0,,Flow2_Nominal
Setup_Time,1.457856,ns,DUT_018,1.0,,Flow2_Nominal
Setup_Time,1.834766,ns,DUT_019,1.0,,Flow2_Nominal
Setup_Time,2.062985,ns,DUT_020,1.0,,Flow2_Nominal
Setup_Time,1.215708,ns,DUT_021,1.0,,Flow2_Nominal
Setup_Time,1.990176,ns,DUT_022,1.0,,Flow2_Nominal
Setup_Time,1.568082,ns,DUT_023,1.0,,Flow2_Nominal
Setup_Time,1.99971,ns,DUT_024,1.0,,Flow2_Nominal
Setup_Time,1.532859,ns,DUT_025,1.0,,Flow2_Nominal
Hold_Time,0.498779,ns,DUT_001,0.5,,Flow2_Nominal
Hold_Time,0.543114,ns,DUT_002,0.5,,Flow2_Nominal
Hold_Time,0.962021,ns,DUT_003,0.5,,Flow2_Nominal
Hold_Time,1.014931,ns,DUT_004,0.5,,Flow2_Nominal
Hold_Time,0.723921,ns,DUT_005,0.5,,Flow2_Nominal
Hold_Time,1.109648,ns,DUT_006,0.5,,Flow2_Nominal
Hold_Time,0.53462,ns,DUT_007,0.5,,Flow2_Nominal
Hold_Time,0.93348,ns,DUT_008,0.5,,Flow2_Nominal
Hold_Time,0.647246,ns,DUT_009,0.5,,Flow2_Nominal
Hold_Time,0.787041,ns,DUT_010,0.5,,Flow2_Nominal
Hold_Time,0.96185,ns,DUT_011,0.5,,Flow2_Nominal
Hold_Time,0.734897,ns,DUT_012,0.5,,Flow2_Nominal
Hold_Time,0.853861,ns,DUT_013,0.5,,Flow2_Nominal
Hold_Time,1.201573,ns,DUT_014,0.5,,Flow2_Nominal
Hold_Time,0.805777,ns,DUT_015,0.5,,Flow2_Nominal
Hold_Time,1.158923,ns,DUT_016,0.5,,Flow2_Nominal
Hold_Time,0.667573,ns,DUT_017,0.5,,Flow2_Nominal
Hold_Time,1.082451,ns,DUT_018,0.5,,Flow2_Nominal
Hold_Time,1.310392,ns,DUT_019,0.5,,Flow2_Nominal
Hold_Time,0.332089,ns,DUT_020,0.5,,Flow2_Nominal
Hold_Time,0.750776,ns,DUT_021,0.5,,Flow2_Nominal
Hold_Time,1.094268,ns,DUT_022,0.5,,Flow2_Nominal
Hold_Time,0.899239,ns,DUT_023,0.5,,Flow2_Nominal
Hold_Time,1.042786,ns,DUT_024,0.5,,Flow2_Nominal
Hold_Time,0.799004,ns,DUT_025,0.5,,Flow2_Nominal
Leakage_Current,3.716474,uA,DUT_001,,10.0,Flow2_Nominal
Leakage_Current,3.110807,uA,DUT_002,,10.0,Flow2_Nominal
Leakage_Current,6.419455,uA,DUT_003,,10.0,Flow2_Nominal
Leakage_Current,4.136052,uA,DUT_004,,10.0,Flow2_Nominal
Leakage_Current,4.344007,uA,DUT_005,,10.0,Flow2_Nominal
